"ACC_LDA","ACC_LDA_sd","ACC_QDA","ACC_QDA_sd","ACC_EDDA","ACC_EDDA_sd","MSE","CSE_LDA","CSE_QDA","CSE_EDDA"
0.595384615384615,0.0758321384575214,0.535384615384615,0.0806925703326849,0.595384615384615,0.0758321384575214,1.89289730072528e-14,12567.2472388694,876.78719872948,6150.0662592441
0.579230769230769,0.0809055439399089,0.51923076923077,0.0826918513367715,0.579230769230769,0.0809055439399089,18.7239955094977,12677.4202258302,6793.37437217313,6720.37805775021
0.573846153846154,0.0756727265964256,0.576153846153846,0.0921014178771362,0.573846153846154,0.0756727265964256,29.1479511223477,12672.9413267201,7472.08163407292,7183.12359081906
0.542307692307692,0.0923501995273165,0.496153846153846,0.100490885484461,0.542307692307692,0.0923501995273165,28.2798761618405,12674.6142340414,6060.78922088166,5888.7068269346
0.580769230769231,0.0738188397942,0.504615384615385,0.0759912159104196,0.580769230769231,0.0738188397942,27.6066886850555,12706.689584843,6467.01779237874,5842.50510504619
0.547692307692308,0.0817038694305103,0.450769230769231,0.0912948091673126,0.547692307692308,0.0817038694305103,54.3201301919347,13158.6719182943,10660.0116146145,8007.12191519549
0.613846153846154,0.0796077814341751,0.56873977086743,0.0698855003748455,0.613846153846154,0.0796077814341751,25.3370777235105,12806.1449698113,7574.05029432296,6099.92484533586
0.530769230769231,0.087222570694437,0.456153846153846,0.108788433753041,0.530769230769231,0.087222570694437,55.7774318731809,13118.695078259,11282.9129865694,10031.2656197255
0.651538461538462,0.0628442697953086,0.531096563011457,0.0954449782947154,0.651538461538462,0.0628442697953086,22.6905896016787,5829.88560725732,6780.54368102141,6406.75704910503
0.646923076923077,0.070230871538026,0.507364975450082,0.108974184564457,0.646923076923077,0.070230871538026,20.9530895272614,5722.43952130622,6435.9146998942,6212.90067184371
0.644615384615385,0.0589527410153919,0.531914893617021,0.103426984114276,0.644615384615385,0.0589527410153919,23.9064773782623,5881.90872977964,7022.34839806641,6522.39626344641
0.645384615384615,0.0588143119851633,0.530278232405892,0.102055089056165,0.645384615384615,0.0588143119851633,23.5492485948677,5874.61687698827,6983.69610917553,6490.19701516063
0.651538461538462,0.0588758761806491,0.527823240589198,0.104473556126603,0.649230769230769,0.0595032367942017,22.2218275924043,5850.34626725688,6868.91879168852,6443.13630114578
0.650769230769231,0.0580652519280128,0.527823240589198,0.104473556126603,0.647692307692308,0.0578151491778721,21.8474560801195,5841.90186017194,6868.91879168852,6437.56944239349
